id,content_url,language,title,description
e9_KhFd4K57UrTtSjFS-X,https://www.youtube.com/watch?v=tvwnNAj9F-4,EN,【4K】Kuribayashi Park PV 2025（フルバージョン）,
tv82u3JQLLit9J7LXyoMg,https://www.youtube.com/watch?v=pZZ2uZfYyaM,EN,【4K】Ritsurin Garden PV2025（フルバージョン）,
zidSEreT8ncqPPLkRvf-T,https://widgets.bokun.io/online-sales/1288269e-9795-4a81-a368-681df893ae2f/experience/989222,EN,Samurai Experience (Kyudo - Archery and Katana) in Tokyo,"Try to travel back in time and become a fierce Japanese warrior with this indoor activity in the heart of Tokyo. Learn the 弓道 (kyūdō), an art of archery, and 刀 (katana) usage, unique for Japan. Explore the war strategies and dive deep into the mind of a samurai. "
lzQyzmOYbWYvyxNEC1a_k,https://www.youtube.com/watch?v=c22i3RNxb_o,EN,【4K】Kuribayashi Park PV 2025（ダイジェスト版）,
g1c7CrpiNz0xurIWkMSdo,https://www.youtube.com/watch?v=kmg9mZaUDws,EN,すだれスクリーン,
AYYK8hGZHCXDdNB06zEls,https://www.youtube.com/watch?v=kA4uHRGqs4Y,EN,【4K】栗林公園 PV2025（ダイジェスト版）,
bjDo-xIdqEM6KTvWha6bW,https://www.youtube.com/watch?v=lvNcxj9TUIc,EN,盛岡,
r-K3QuB3ltfkp5v8BCCa4,https://widgets.bokun.io/online-sales/1288269e-9795-4a81-a368-681df893ae2f/experience/1104875,EN,瞑想G,"The monk of Zenkouji, Kaiji, will guide you through a meditation experience. Beginners are more than welcome, with detailed explanations and breathing techniques provided. Experience the Buddhist meditation ritual to compose yourself."
yBfbEbtvk1K5hLItd4ZYF,https://www.youtube.com/watch?v=PmxoJkj-XT8,EN,蹴鞠_KEMARI　Japanese Football in Kyoto,"You can experience Kemari in Kyotanba Town, located in the central part of Kyoto Prefecture."
DtkVl1MannuuAD6tktIXH,https://www.youtube.com/watch?v=MBokt3iOZ2Q,EN,MIYAMOBI 宮島地区,
4-6pLvCmcdFAE8NVGEZha,https://www.youtube.com/watch?v=7WtGl0gyFD0,EN,MIYAMOBI平屋地区,
Ao5DxoEmfdazizJ7cPnIN,https://www.youtube.com/watch?v=_15DJpBHROo,EN,MIYAMOBI 秋,
7xrvxXAMvTEQk6SW6sDKz,https://www.youtube.com/watch?v=9P3f3Oh-ClU,EN,SKY HOP BUS ぐるっと森の京都〈京丹波編〉,
X2da4vyNI6GlK17tdJInQ,https://www.youtube.com/watch?v=onhhVUum4-M,EN,SKY HOP BUS ぐるっと森の京都〈亀岡編〉,
A_2Op6Gz3ted1rnGCsfCV,https://www.youtube.com/watch?v=Q8NtVfm-feU,EN,SKY HOP BUS ぐるっと森の京都〈南丹編〉,
U2GCYwqU2uTxIGwREeGBa,https://www.youtube.com/watch?v=VcdK2R4Tqqk,EN,Shimokita Peninsula - GEO DINING SHIMOKITA - 台湾版,
569R7u-U38W9jD9HH37WT,https://www.youtube.com/watch?v=qI1Czc9I4BM,EN,Let's Go on an Island Trip in Kagawa!,世界に誇る瀬戸内の自然を感じるクルージングの旅。チャーター船で瀬戸内の島々をアイランドホッピングしよう！
NSw2uhs298i_bgXpFZwhZ,https://www.youtube.com/watch?v=GACgEWJIPQU,EN,사계절 여행을 떠나자! 우동현 [15min],この動画は香川県のプロモーション動画です。
jJG3wti_6NYrMFdBYMPAy,https://www.youtube.com/watch?v=LCrEUDVG0nI,EN,사계절 여행을 떠나자! 우동현 [3min],この動画は香川県のプロモーション動画です。
j1wm6DOu_g7rDbAKGHCRz,https://www.youtube.com/watch?v=gsQ4Ofd3AyQ,EN,사계절 여행을 떠나자! 우동현 [1min],この動画は香川県のプロモーション動画です。
rMt3bSDqJErLyjflk5ex9,https://en.japantravel.com/miyagi/the-white-rock-of-shiroishi-city/68199,EN,"The ""White Rock"" of Shiroishi City","Shiroishi City in southern Miyagi is renowned for its reconstructed castle, samurai history, special 'umen' noodles, and the enchanting Zao Fox Village. While exploring attractions and savoring local cuisine are popular activities, researching the origins of the place names offers valuable insights into the history and thoughts of past pioneers. Shiroishi (白石) translates to 'White Rock,' and this rock still exists in a small chained-off enclosure. Located just a 5-minute walk from City Hall or a 10-minute walk from Shiroishi Castle, the rock is accompanied by a pine tree and a historical marker. The 'white' rock is actually ash gray, having weathered the elements for centuries. Standing at 0.47 meters tall and 1.05 meters in diameter, it is considered a resting place for a matchmaking deity. The city is linked to a larger white rock in Neno-Shiroishi, located about 55km away, where prayers for good marriages are said to be fulfilled."
wi9NV9dNdhtK7pLZDjPsK,https://en.japantravel.com/miyagi/sendai-s-flagship-street-food-hyotan-age/68196,EN,Sendai's Flagship Street Food: Hyotan,"Without a doubt, one of Sendai's must-try street foods is 'hyotan-age'. This delightful snack consists of deep-fried fish balls skewered on a stick, offering a crispy exterior and a soft interior. Served with a swirl of optional ketchup, it resembles an American corndog in texture. You can find hyotan-age at Sendai Station near the tourism information center or at the original Abe Kamaboko shop at the end of the CLIS Road shopping arcade. For just ¥250, this portable snack is perfect for a break during shopping. And if you find the word 'あたり' on your stick, you are a 'winner'!"
vWlInbJZpm-PWtHEXiRE5,https://www.youtube.com/watch?v=pzqDc84M7uo,EN,Traveling Through the Seasons in Udon Prefecture.,香川県には、四季折々の魅力があります。
DN4fpcD1vHsjx8B0KuqNB,https://www.youtube.com/watch?v=xb7kt5z_H6c,EN,イントロダクション,"A video exploring the great nature, traditions, culture, and the lives of people in the six towns of Mori no Kyoto (Kameoka City, Nantan City, Kyotanba Town, Ayabe City, Fukuchiyama City, and Ukyo Ward, Kyoto City). In the introduction, Yuko Ichinose, who lives in Ukyo Ward, Kyoto City, embarks on a journey to find the cabin deep in the forest where she lived with her grandparents when she was young."
ajQEHDZtHN2MyZdClnCJJ,https://www.youtube.com/watch?v=YsFzbwkVNhs,EN,Open Okayama Castle [Trailer Video],"■ 予告編映像 ■

この少女は誰じゃ？
この歌声は誰じゃ？

9月14日（水）
新しい #岡山城 が見えてくる。
ムービー、イベント情報、その全貌をご覧あれ。
●詳しくは https://kin-ujo.jp/"
CGrFWIgEaSV36ahPV-N3L,https://www.youtube.com/watch?v=lXWk2HnhsMQ,EN,"MAIZURU,特別クルーズ","This is a special tour of 'Maizuru Bay Sightseeing Boat'. Here, we have set up a special course focused on a tour of escort ships for fans of a particular game/anime. We will continue to plan special cruise from time to time in the future, so please look forward to them."
mNfPPRPa63CL8wT0RnCE6,https://www.youtube.com/watch?v=K0igPZ1uVEo,EN,知らなきゃ損！愛知観光で行きたい感動ドライブ7選【穴場＆絶景】,"Please use this as a reference for your trip or sightseeing in Aichi Prefecture. This time, we will introduce driving spots in Aichi Prefecture. If you have any recommendations that are not mentioned in this video, please share them in the comments section!"
zJ1tbowDP6ss0LS8pCNHN,https://www.youtube.com/watch?v=hYKMatqW9qc,EN,島を継ぐの手紙,
WXyEKQ-K1v_HGzOU9rIon,https://www.youtube.com/watch?v=osawxA_JwMM,EN,a letter from  ~島に添う~,
Q3_mGW68H6qo5y4q1n6yT,https://en.japantravel.com/tokyo/nakiryu-ramen/53990,EN,Nakiryu Ramen,"Nakiryu Ramen (創作麺工房 鳴龍) is a Michelin-starred ramen restaurant located in Tokyo's Otsuka district. Opened in 2012, it quickly became one of Tokyo's best ramen shops, earning its Michelin star in 2017. Nakiryu offers a variety of ramen options, including shoyu, shio, and their signature tantanmen, known for its creamy, spicy broth and handmade ultra-thin noodles. The basic tantanmen starts at ¥900, with spicier and sourer variations available. Open from 11 am to 3:30 pm, closed on Tuesdays, Nakiryu is just a 6-minute walk from Otsuka Station. Don't miss the chance to experience this culinary gem!"
QMsC_LaDhAU_MM637drRO,https://en.japantravel.com/shimane/youmeiji-temple-tsuwano/38930,EN,"Youmeiji Temple, Tsuwano","Youmeiji Temple (永明寺) is a thatch-roofed temple located 15 minutes from Tsuwano Station and 10 minutes from the old town center. I visited in early summer and felt a refreshing breeze from the tall trees and thick forest after climbing the stairs to the temple. The entrance features a tall gate that once marked the boundary between the merchant town and samurai residences. The temple is quiet, allowing weary travelers to relax. Behind the temple is a small but beautiful garden. Built in 1420 by the Yoshimi clan, it served as the family temple for domain lords until the Meiji Restoration. The graveyard in front includes the resting place of Ogai Mori, a prominent Meiji period writer. A unique hollow fish sculpture serves as a silent alarm for the priests, adding to the temple's serene atmosphere. This is a place worth visiting."
