video_id,channel_id,channel_title,title,description,published_at,url,thumbnail_url,status,latitude,longitude,categories,google_api_calls
WmCkwbKRIQ8,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","森の京都四季編（ロゴあり）","冬、大地が静かに眠る季節。
澄んだ空気の中、息づく人々の営みと伝統。

春、芽吹く命と彩りを感じる季節。
喜び溢れ人々を動かす新しいエネルギー。

夏、太陽と水が躍る季節。
人々に生きる糧を与える山と川の恵み。

秋、実りを分かち合う季節。
色鮮やかな山々に包まれる人々の感謝と祈り。

四季が巡り、自然と人々が調和する場所。
森の京都。",2025-02-28T04:43:47Z,https://www.youtube.com/watch?v=WmCkwbKRIQ8,https://i.ytimg.com/vi/WmCkwbKRIQ8/maxresdefault.jpg,keep,,,,0
hy_4eWLA7fE,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","森の京都四季編（ロゴ無し）","冬、大地が静かに眠る季節。
澄んだ空気の中、息づく人々の営みと伝統。

春、芽吹く命と彩りを感じる季節。
喜び溢れ人々を動かす新しいエネルギー。

夏、太陽と水が躍る季節。
人々に生きる糧を与える山と川の恵み。

秋、実りを分かち合う季節。
色鮮やかな山々に包まれる人々の感謝と祈り。

四季が巡り、自然と人々が調和する場所。
森の京都。",2025-02-28T01:46:49Z,https://www.youtube.com/watch?v=hy_4eWLA7fE,https://i.ytimg.com/vi/hy_4eWLA7fE/maxresdefault.jpg,keep,,,,0
QjdrEuZI9Fc,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","森の京都へようこそ～たくさんの「楽しい！」が待っている～","京都駅から20分
自然溢れる京都の森
たくさんの「楽しい！」が待っている
森の京都へようこそ",2025-02-05T00:15:54Z,https://www.youtube.com/watch?v=QjdrEuZI9Fc,https://i.ytimg.com/vi/QjdrEuZI9Fc/maxresdefault.jpg,keep,,,,0
2H74fqw4XjY,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","森の京都へようこそ～たくさんの「楽しい！」が待っている～（QRコード入り）","京都駅から20分
自然溢れる京都の森
たくさんの「楽しい！」が待っている
森の京都へようこそ",2025-02-05T00:14:36Z,https://www.youtube.com/watch?v=2H74fqw4XjY,https://i.ytimg.com/vi/2H74fqw4XjY/maxresdefault.jpg,keep,,,,0
DVmScHgp3xs,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","保津川下り（QRコード入り）","京都・亀岡から嵐山まで約16kmの渓流を約2時間かけて下る「保津川下り」。
世界中の観光客を魅了する雄大な自然、美しい景色、船頭さんのパフォーマンス…乗船した気分で、どうぞご堪能ください。",2025-02-05T00:12:37Z,https://www.youtube.com/watch?v=DVmScHgp3xs,https://i.ytimg.com/vi/DVmScHgp3xs/maxresdefault.jpg,keep,,,,0
Avz7_s21zh8,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","【京都・京丹波】 TANTAN SATOYAMA KYOTO & Super Relax Stay","JR京都駅からわずか1時間で到着できる里山エリアで、優雅に日本の里山生活が体験できる2泊3日の滞在プログラムです。京都の田舎でゆっくり過ごす貴重な体験を提供します。",2024-02-01T08:54:59Z,https://www.youtube.com/watch?v=Avz7_s21zh8,https://i.ytimg.com/vi/Avz7_s21zh8/maxresdefault.jpg,keep,,,,0
B47WgnMSVEU,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","こころ満たす旅へ、森の京都。","自然と過ごす至福のひととき。

森と川の恵みが溢れる、心躍る体験を。

森の中の贅沢な時間があなたを待っています。

自然と心を満たす旅へ、さぁ出かけよう。

------------------------------------------------
森の京都地域振興社(森の京都DMO)
知られざる京都の魅力を世界に発信する公的旅行会社です。
まだ誰も体験したことのない旅をご一緒しませんか。

□公式サイト：https://morinokyoto.jp/
□Instagram：https://www.instagram.com/morinokyoto.jp/

お問合せ：
□住所：京都府亀岡市追分町谷筋25番地30
□TEL：0771-22-9800
□E-mail：info@morinokyoto.jp
-------------------------------------------------",2023-11-02T07:59:25Z,https://www.youtube.com/watch?v=B47WgnMSVEU,https://i.ytimg.com/vi/B47WgnMSVEU/maxresdefault.jpg,keep,0.0,0.0,,0
4y152W3L1us,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","実はすぐそこ！京都駅から森の京都まで【アクセス紹介動画】","京都市内から少し足を延ばして自然に触れてみたいけど、京都市内から遠いのでは…と思われている方も多いのではないでしょうか？
実は電車で１本。京都駅から乗り換えもなく、森の京都の窓口である亀岡までは２０分と簡単に行くことが出来るんです！綺麗な田園風景を車窓から眺め、自然の雄大さを感じながら、ぜひ森の京都へお越しください♪

------------------------------------------------
森の京都地域振興社(森の京都DMO)
知られざる京都の魅力を世界に発信する公的旅行会社です。
まだ誰も体験したことのない旅をご一緒しませんか。


□公式サイト：https://morinokyoto.jp/
□Instagram：https://www.instagram.com/morinokyoto.jp/


お問合せ：
□住所：京都府亀岡市追分町谷筋25番地30
□TEL：0771-22-9800
□E-mail：info@morinokyoto.jp
-------------------------------------------------",2023-08-22T23:50:54Z,https://www.youtube.com/watch?v=4y152W3L1us,https://i.ytimg.com/vi/4y152W3L1us/maxresdefault.jpg,keep,34.9861909,135.7600629,"Nature & Outdoors,Experiences",0
_VOM9ifXYoU,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","こころ満たす旅へ、森の京都。","自然と過ごす至福のひととき。

森と川の恵みが溢れる、心躍る体験を。

森の中の贅沢な時間があなたを待っています。

自然と心を満たす旅へ、さぁ出かけよう。

------------------------------------------------
森の京都地域振興社(森の京都DMO)
知られざる京都の魅力を世界に発信する公的旅行会社です。
まだ誰も体験したことのない旅をご一緒しませんか。

□公式サイト：https://morinokyoto.jp/
□Instagram：https://www.instagram.com/morinokyoto.jp/

お問合せ：
□住所：京都府亀岡市追分町谷筋25番地30
□TEL：0771-22-9800
□E-mail：info@morinokyoto.jp
-------------------------------------------------",2023-04-19T00:46:15Z,https://www.youtube.com/watch?v=_VOM9ifXYoU,https://i.ytimg.com/vi/_VOM9ifXYoU/maxresdefault.jpg,keep,35.010417,135.573789,"Nature & Outdoors,Experiences",0
5havEf3ronc,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","私は、森の京都ファン","京都に佇む美しい森
太古から伝わる自然と信仰
伝統根付く暮らしと地域文化
季節の移ろい感じる日本の原風景
森の癒しと魅力との出会い

私は、森の京都ファン

------------------------------------------------
森の京都地域振興社(森の京都DMO)
知られざる京都の魅力を世界に発信する公的旅行会社です。
まだ誰も体験したことのない旅をご一緒しませんか。

□公式サイト：https://morinokyoto.jp/
□Instagram：https://www.instagram.com/morinokyoto.jp/

お問合せ：
□住所：京都府亀岡市追分町谷筋25番地30
□TEL：0771-22-9800
□E-mail：info@morinokyoto.jp
-------------------------------------------------",2022-12-04T23:19:25Z,https://www.youtube.com/watch?v=5havEf3ronc,https://i.ytimg.com/vi/5havEf3ronc/maxresdefault.jpg,keep,36.5748441,139.2394179,"Cultural Sites,Nature & Outdoors,Experiences",0
tkAUR3ouYB8,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","Activity in Woodland Kyoto","緑豊かな里山
清らかに流れる水
自然の恩恵を受けながら
長く受け継がれてきた知恵と技

自然と人々が交わり営む暮らしの中に
ちょっと仲間入りさせてもらいませんか？
森の京都でいろんな体験、
あなたも一緒に楽しみませんか？

------------------------------------------------
森の京都地域振興社(森の京都DMO)
知られざる京都の魅力を世界に発信する公的旅行会社です。
まだ誰も体験したことのない旅をご一緒しませんか。

□公式サイト：https://morinokyoto.jp/
□Instagram：https://www.instagram.com/morinokyoto.jp/

お問合せ：
□住所：京都府亀岡市追分町谷筋25番地30
□TEL：0771-22-9800
□E-mail：info@morinokyoto.jp
-------------------------------------------------",2022-06-16T08:34:15Z,https://www.youtube.com/watch?v=tkAUR3ouYB8,https://i.ytimg.com/vi/tkAUR3ouYB8/maxresdefault.jpg,keep,35.1066157,135.7912713,"Scene Spots,Nature & Outdoors,Experiences",0
fUwuJRo4iy4,UCJx1r26D2GC3lxFLFrHmswg,"森の京都公式チャンネル_Woodland Kyoto","森の京都【春夏】Woodland Kyoto -Homeland of Pure Nature-","豊かな暮らしの源は、どこからやってくるのでしょう
豊かな水は、山々に根を張りめぐらし、木や花へ命をふきこむ
それは星を頼りに生きた古の時代から、変わることなく
この森の京都に受け継がれる景色

自然と人が、長い歴史の中寄り添い共生する場所
清らかな水の流れに、自分の鼓動を合わせ
自然の一部である事を、感じる事ができる場所

それが、森の京都

------------------------------------------------
森の京都地域振興社(森の京都DMO)
知られざる京都の魅力を世界に発信する公的旅行会社です。
まだ誰も体験したことのない旅をご一緒しませんか。

□公式サイト：https://morinokyoto.jp/
□Instagram：https://www.instagram.com/morinokyoto.jp/

お問合せ：
□住所：京都府亀岡市追分町谷筋25番地30
□TEL：0771-22-9800
□E-mail：info@morinokyoto.jp
-------------------------------------------------",2022-06-16T07:30:43Z,https://www.youtube.com/watch?v=fUwuJRo4iy4,https://i.ytimg.com/vi/fUwuJRo4iy4/maxresdefault.jpg,keep,35.0165685,135.5813814,"Historical Sites,Scene Spots,Nature & Outdoors,Experiences",0
